Subject,Sentence,Label
biology," However , those fields of science related to the physical world and its phenomena and processes are considered natural sciences .","  0  0  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  0  0  0  0  0"
biology," Deductive reasoning is a form of logical thinking that uses a general principle or law to forecast specific results .","  0  0  0  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  0"
biology," A variable is any part of the experiment that can vary or change during the experiment .","  0  0  0  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  0"
biology," The control group contains every feature of the experimental group except it is not given the manipulation that is hypothesized about .","  0  0  0  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  0"
biology," 14 . In contrast , applied science or “ technology , ” aims to use science to solve real - world problems , making it possible , for example , to improve a crop yield , find a cure for a particular disease , or save animals threatened by a natural disaster ( [ link ] ) .","  0  0  0  0  0  0  0  0  AKA  AKA  AKA  AKA  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  0  0  0  0  0  0"
biology," There are usually acknowledgment and reference sections as well as an abstract ( a concise summary ) at the beginning of the paper . There might be additional sections depending on the type of paper and the journal where it will be published ; for example , some review papers require an outline .","  0  0  0  0  0  0  0  0  0  0  0  0  0  Direct-Defines  Direct-Defines  Direct-Defines  0  0  0  0  0  0  0  0  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  Supplements  0"
biology," 23 . Finally , the conclusion section summarizes the importance of the experimental findings .","  0  0  0  0  0  0  0  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  0"
biology," 29 . Some cells contain aggregates of macromolecules surrounded by membranes ; these are called organelles .","  0  0  0  0  0  0  0  0  0  0  0  0  Indirect-Defines  0  0  0  0"
biology," 32 . In larger organisms , cells combine to make tissues , which are groups of similar cells carrying out similar or related functions .","  0  0  0  0  0  0  0  0  0  0  0  0  0  0  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  0"
biology," Organs are collections of tissues grouped together performing a common function .","  0  0  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  Direct-Defines  0"
